,Departamento,SalarioMedio
0,Arauca,633877
1,Amazonas,617707
2,Antioquia,1203229
3,Atlantico,732442
4,Bogota,1720549
5,Bolivar,554065
6,Boyaca,1133030
7,Caldas,1104061
8,Caqueta,795871
9,Casanare,1221574
10,Cauca,994267
11,Cesar,640610
12,Choco,851723
13,Cordoba,683984
14,Cundinamarca,866788
15,Guainia,708864
16,Guaviare,928895
17,Huila,809459
18,Guajira,589259
19,Magdalena,566829
20,Meta,977752
21,Narino,767985
22,NorteSantander,561033
23,Putumayo,467234
24,Quindio,964620
25,Risaralda,1093172
26,SanAndres,1096731
27,Santander,964342
28,Tolima,853075
29,Valle,1001836
30,Vaupes,1534246
31,Vichada,1048821
