,Departamento,%informalidad
25,Risaralda,80.49
21,Narino,79.11
18,Guajira,76.74
28,Sucre,74.52
22,NorteSantander,70.9
19,Magdalena,70.89
14,Cordoba,68.9
17,Huila,68.72
10,Cauca,68.53
13,Choco,67.9
8,Caqueta,67.76
15,Guainia,67.31
5,Bolivar,66.46
11,Cesar,63.64
6,Boyaca,61.63
29,Tolima,60.24
16,Guaviare,57.96
1,Amazonas,56.53
3,Atlantico,56.29
20,Meta,55.63
2,Arauca,55.43
9,Casanare,54.79
27,Santander,54.04
32,Vichada,53.92
24,Quindio,50.14
30,Valle,48.9
0,Antioquia,46.386
7,Caldas,45.8
12,Cundinamarca,45.4
23,Putumayo,44.86
26,SanAndres,40.99
31,Vaupes,37.06
4,Bogota,34.04
